Lap Details,Laptop state,Laptop price
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE 16GB RAM 1TB SSD WEBCAM WI-FI,Good - Refurbished,£119.99 to £189.99
FAST CHEAP CORE i3 /i5 LAPTOP 120GB SSD 8GB RAM WARRANTY FREE WINDOWS 11 UPGRADE,Pre-owned,£84.66 to £137.57
Laptop HP Elitebook 830 G5 Core i5 8th Gen 8gb RAM 256GB SSD Windows 10 HDMI,Good - Refurbished,£172.99
HP Pro X2 612 G2 Tablet PENTIUM GOLD 4GB RAM 128GB SSD Windows 11 Pro Grade A+,Very Good - Refurbished,£70.83
Apple iPad 7th Gen 2019 10.2 in 32GB WiFi Space Grey GRADE A 💙 APPLE BOX,Pre-owned,£145.83
"Cheap Gaming Laptop i7 3.30GHz 16GB RAM Fast 128GB SSD 12.5"" Portable Computer",Very Good - Refurbished,£107.50 to £149.17
"New listingLenovo Thinkpad L480 Core i3 8130U 2.2GHz 8GB 256GB SSD 14.1"" Screen Laptop 108",Pre-owned,£74.92
New listingDell Latitude 7490 Laptop Core i7 8650U Full-HD 16GB 500GB M.2 SSD Webcam,Pre-owned,£384.12
Generic Fast Cheap Intel Core i5 7th Gen Windows 10 16GB RAM 500GB SSD LAPTOP,Pre-owned,£142.86
FAST CHEAP INTEL CORE i3 / i5 LAPTOP - Windows 10 + 8GB RAM + 120GB SSD + WiFi,Pre-owned,£62.49 to £83.32
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE I5 4/8/16GB RAM 1TB HDD SSD WEBCAM,Good - Refurbished,£83.32 to £174.99
"Dell Latitude 5490 Laptop, 14"" Core i5 8th Gen, 8GB RAM, 256GB SSD, Windows 11",Pre-owned,£159.99
"Lenovo ThinkPad X13 Gen 2 13.3"" Touchscreen Laptop - i5-1135G7, 16GB, 256GB SSD",Pre-owned,£399.99
"HP Chromebook 11 G5 EE 7265NGW 11.6"" 16GB 4GB Ram Chrome OS Cheap Laptop PC",Pre-owned,£34.99 to £69.99
"Lenovo Chromebook 500e 11.6"" TouchScreen 2 in One 4GB 32GB Black A+ Grade Pen",Excellent - Refurbished,£126.99
"New listingDell Latitude 15.6"" E5570 i7-6820, 16GB, 256GB SSD, WIN 10 Used. #06.",Pre-owned,£195.91
New listingDell Latitude E7450 Laptop Core i7 5600U Full-HD nVidia Geforce 840M UMTS,Pre-owned,£153.13
"New listingDell Inspiron 1018 / N455 / 1GB Ram / 160GB HDD / 10"" Laptop *Faulty*",Parts only,£2.50
"GOLD LENOVO T470 FAST LAPTOP CORE i5 16GB RAM 512GB SSD WINDOWS 10/11 14"" HD",Very Good - Refurbished,£124.99 to £266.66
CHEAP LAPTOP LENOVO iCORE i3 i5 4th 5t 8GB RAM 128GB SSD Windows 10 HP DELL CORE,Good - Refurbished,£95.24
FAST CHEAP INTEL CORE i5 WINDOWS 10 Wi-Fi LAPTOP UP TO 16GB RAM 480GB SSD,Excellent - Refurbished,£66.66 to £166.66
"Acer Aspire ES1 15.6"" Laptop Intel Celeron 8GB RAM 500GB Webcam CD/DVD+RW Office",Pre-owned,£119.00
"Dell Latitude 5300 Laptop, 13.2"" Core i5 8th Gen, 8GB RAM, 256GB SSD, Windows 11",Pre-owned,£159.99
"VENTURER Europa 14 LT 14"" Full HD Laptop Intel 2.6GHz 2GB Ram 64GB SSD HDMI",Opened – never used,£74.99
"+Lenovo Thinkpad T470 i5-6300U 32GB RAM 2TB NVMe SSD Laptop 14"" HD Win 10 11 Pro",Pre-owned,£154.00 to £349.00
Fast Cheap Laptop Intel i7 3.30 GHz 128GB SSD Win11 Pro 8GB Notebook Computer,Good - Refurbished,£89.00 to £129.00
New listingHP Elitebook 8470p Intel i7 2.90Ghz 8GB 500GB HDD 1366x768 DVD Windows 10 Laptop,Very Good - Refurbished,£162.46
Fast Cheap Gaming Laptop i7 1TB SSD Win11 16GB RAM Computer FHD 2 in 1 Touch PC,Very Good - Refurbished,£199.00 to £319.00
CHEAP FAST Top Brand Windows 10 Laptop i3 up to 16GB RAM 1TB SSD WIFI Webcam,Good - Refurbished,£74.99 to £158.32
Acer Chromebook C730 - 32GB - 2GB Ram - Intel Celeron N2840 @ 2.16 GHz,Good - Refurbished,£49.98
"Laptop Dell Latitude 7310 10th Gen i5 i7 8/16GB RAM 256/512GB SSD Warranty, E",Excellent - Refurbished,£206.67 to £233.33
"TOUCH SCREEN Toughbook Rugged Laptop 14"" Core i7-6th Gen 1TB SSD, 16GB RAM",Good - Refurbished,£399.99 to £549.99
Lenovo Thinkpad Laptop Intel Core i7 i5 16GB 512GB SSD Windows 11 T470 T490 Yoga,Good - Refurbished,£120.79 to £166.62
Cheap Fast Dual Core Windows 10 Laptop 4GB 240GB WIFI,Very Good - Refurbished,£59.16 to £74.99
"FAST HP 250 G6 INTEL I5 7200u 8GB RAM 256GB SSD 15"" HD WINDOWS 11 LAPTOP WEBCAM",Very Good - Refurbished,£134.99
Dell Latitude 7280 7270 Core i5-6200U 8GB Ram 128GB  Windows 11 Laptop,Excellent - Refurbished,£124.99
"New listingASUS Chromebook Plus CX3402CBA 14.0"" FHD Chromebook Intel i3-1215U 256GB 8GB RAM",Opened – never used,£209.99
HP ProBook x360 Student Windows 11 Netbook Touchscreen Intel 4GB 128GB SSD HDMI,Good - Refurbished,£99.00
CHEAP FAST Top Brand Windows 10/11 Laptop i3/i5 16GB Ram 256GB SSD/ 1TB HDD WIFI,Good - Refurbished,£99.99 to £159.99
"Laptop HP EliteBook 830 G6 13in 8th Gen i5 i7 16GB RAM 256GB 512GB SSD FHD, VG",Very Good - Refurbished,£229.17 to £249.17
Panasonic Toughbook CF-C2 i5 8GB 240GB SSD Win 10 Rugged Touchscreen Laptop,Good - Refurbished,£179.00
New listingDELL Latitude E6540 Core i5-4200M 8GB 128GB SSD 15.6` 1920x1080 B-Ware,Pre-owned,£85.54
SUPER FAST LINUX UBUNTU LAPTOP INTEL CORE I5 16GB RAM 1TB HD SSD WEBCAM WARRANTY,Good - Refurbished,£99.99 to £183.32
"TOUCHSCREEN DELL E7270 INTEL I7 WIN 11 16GB RAM 512GB SSD 12.5"" HD ULTRABOOK",Very Good - Refurbished,£159.99
Dell Latitude E7480 Core i5-6300U 16GB Ram 256GB  Windows 11 Laptop Webcam Hdmi,Good - Refurbished,£137.46
Shop on eBay,Brand New,$20.00
"Dell Latitude 3300 Windows 11 Pro 14"" Laptop Intel Core i5 8250U 8GB 256GB SSD",Pre-owned,£124.99
"New listingCHEAP LENOVO THINKPAD X280 LAPTOP i5 7TH GEN 8GB RAM 512GB SSD 12.5"" WIN 10/11",Very Good - Refurbished,£133.32 to £158.32
"Panasonic Toughpad  FZ-G1 Core  i5 8 GB RAM, 256 GB SSD,Win 10 Pro Tablet 4G Gps",Very Good - Refurbished,£229.99
New listingDELL XPS 13 9350 Laptop Intel Core i7 6Th GEN 16 GB DDR4 512 GB SSD 500 GB HDD,Pre-owned,£200.00
New listingVintage Sony Vaio Laptop PCG-3A1M.  Great Condition.  (Ref:W4959).,Pre-owned,£39.99
"HP EliteBook 830 G5 Touchscreen 13.3"" Laptop i5-8thGen 16GB RAM 512GB SSD Win 11",Pre-owned,£239.99
"Lenovo 500e Chromebook 11.6"" TouchScreen 4GB 32GB Black 2 in One, Stylus A Grade",Pre-owned,£79.00
"New listingToshiba Satellite S70-B 17.3"" FHD, i7, SSD240GB, 8GB Memory, R9m200x",Pre-owned,£213.87
Lenovo Chromebook S330,Brand new,£80.00
New listingDell Latitude 3410 i5 10th Gen DOESN’T BOOT No Drive No ram  ,Parts only,£19.94
New listingDell Latitude E7450 Laptop Core i7 5600U nVidia Geforce 840M 2.0GB UMTS,Pre-owned,£170.24
New listingDell Latitude 7490 Laptop Core i7 8650U Full HD 500GB M.2 SSD Hard Drive Webcam,Pre-owned,£349.90
"HP Chromebook 11.6"" x360 G3 EE  N4120 4GB 32GB Touch Screen (Year-2020) Warranty",Pre-owned,£75.00
HP EliteBook 840 G3 i5-6200U 8GB Ram 256GB SSD Windows 11 Pro Warranty Laptop,Pre-owned,£105.99 to £120.99
"Stone Clevo W550SU 15.6"" Laptop Intel Core i5 4TH Generation + 500GB + CD/DVDRW",Pre-owned,£99.00
New listingDell Latitude 3310 2-in-1 Celeron 4205u 8GB 128GB SSD 1366x768 Windows 10 Laptop,Very Good - Refurbished,£136.79
"LENOVO IDEAPAD 1 14IGL05 14"" HD LAPTOP  WINDOWS 11 64GB SSD 4GBRAM CURRENT MODEL",Pre-owned,£79.04
"New listingAcer Aspire 5742 Intel i3 Dual-Core 15.6"" Windows 10 Office 2010 Laptop",Pre-owned,£65.00
"New listingDell Vostro 3590 15.6"" Quad i7 10510U 16GB 256GB NVMe Windows 11 WIFI Laptop DV2",Pre-owned,£330.00
"New listingFast HP 250 G7 15.6"" Quad i7 8565U 8GB RAM 256GB SSD Windows 11 WIFI Laptop HP1",Pre-owned,£180.00
New listingTOSHIBA SATELLITE L855-11P Core I5 2.50ghz 6GB RAM 700GB HDD WINDOWS 7,Pre-owned,£59.95
New listingDell Latitude 5400 Core i5-8365U 16GB Ram 256GB SSD M2 FHD Win 11 PRO Laptop,Pre-owned,£169.99
"Toshiba Sat Pro C660D AMD E-450@1.65GHz Windows 10 4GB, 500GB HD, Wifi, DVDRW SH",Pre-owned,£35.00
"Dell Latitude E6430 Laptop i5-3340M 2.70 GHz 8GB RAM, 128GB SSD, Windows 11 Pro",Pre-owned,£69.99
"New listingCHEAP HP CHROMEBOOK 11.6"" WITH 4GB RAM CHROME OS WEBCAM HDMI NOTEBOOK S&R",Parts only,£12.70
"Dell Latitude 3410 Windows 10 14"" Laptop Intel Core i5 10210U 1.6 8GB 256GB SSD",Pre-owned,£140.00
New listingLenovo ThinkPad T560 Core i5-6200U 8GB 128GB SSD 15.6'' HD,Pre-owned,£145.43
"New listingHP ProBook 6360b. Core i5-2540M-2.60GHz, 4GB, 500GB, 13.3"" HD Laptop, Windows 10",Pre-owned,£25.00
"New listingDELL Latitude E5250, Intel i3-5010U, NO RAM, NO SSD, WiFi, BT4.0, HDMI, 12.5""",Parts only,£29.86
LAPTOP SUPER DELL HP LENOVO CORE i5 6th GEN 8GB RAM 240GB SSD WINDOWS 11 Wi-Fi,Good - Refurbished,£149.99
"HP ProBook 640 G5 Laptop 14"" FHD i5-8365U CPU Up to 4TB NVMe SSD Windows 11 Pro",Very Good - Refurbished,£145.71 to £395.71
"New listingHP ProBook 6360b. Core i3-2310M-2.10GHz, 4GB, 500GB, 13.3"" HD Laptop, Windows 10",Pre-owned,£33.32
New listingDell Latitude E7470 Laptop Core i7 6600U Full-HD 8GB DDR4 240GB M.2 SSD Webcam,Pre-owned,£204.46
"Lenovo ThinkPad T490 14"" FHD Core i5-8265u 16GB RAM 256GB SSD Win11 Professional",Pre-owned,£174.99
New listingLenovo ThinkPad T540p Core i5-4200M 8GB 180GB SSD DVD-RW 1366x768,Pre-owned,£119.76
HP ProBook X360 435 G7 AMD Ryzen 3 4300U 8GB 256GB Windows 10,Pre-owned,£169.99
"HP Probook 6570B 15.6"" Laptop Intel Core i5 8GB RAM 500GB Webcam Windows 10 Pro",Pre-owned,£119.00
"New listingLenovo Thinkpad L480 Core i3 8130U 2.2GHz 8GB 256GB SSD 14.1"" Screen Laptop 117",Pre-owned,£74.96
"New listingDell Latitude 5590 Windows 11 15.6"" Laptop Intel i5 8250U 1.60GHz 8GB 256GB SSD",Pre-owned,£108.32
"HP Zbook 17 inch G2 17.3"" Core i7 4910MQ 8GB RAM 256GB SDD Win 10 NVIDIA 3100",Pre-owned,£229.00
"HP Pavilion 14-dv2514sa 14"" Laptop Intel i3 12th Gen 8GB RAM 256GB SSD White #A",Opened – never used,£274.99
New listingToshiba DynaBook Satellite Pro PA1251CA Laptop Grey UNTESTED Sold as SPARES,Parts only,£89.99
Panasonic Toughbook Rugged CF-D1 Intel Celeron 1037U 3.7ghz 500GB HDD 4GB 10 Pro,Pre-owned,£179.00
"Lenovo ThinkPad T460 Laptop - i5-6300U, 8GB RAM, 256GB SSD, Win 10 Pro",Pre-owned,£99.99
HP EliteBook 840 G3 Core i5 6th Gen  8GB 256GB Windows 10 Pro Laptop,Pre-owned,£109.99
Lenovo ThinkPad T430 14 in Laptop i5-3320M 4GB 300GB HDD Windows 10 Pro,Pre-owned,£80.00
New listingDell Latitude 7490 i5-7300U @ 2.6GHz 8GB Ram 256GB SSD,Pre-owned,£100.00
"HP Elitebook 830 G5 Laptop - 13"" FHD I5-8350U Quad Core CPU NVMe SSD Windows 11",Very Good - Refurbished,£145.71 to £395.71
"HP EliteBook x360 1030 G4 Laptop, 13.3"" FHD Touch, i5-8365U, 16GB RAM, 512GB SSD",Very Good - Refurbished,£349.90
"Sale - Dell Latitude E5480 Laptop - 6th Gen i5, 4GB RAM, 128GB SSD Win 10 ProCharity item",Pre-owned,£74.99
"New listingASUS R505C 15.6"" Intel Core i5-3317U 1.70GHz USB 3.0",Parts only,£22.20
Panasonic Toughbook Cf 19 Core i5  Diagnostics Win 10 Or Win 7 Rugged Laptop,Good - Refurbished,£165.00
"Dynabook Toshiba Satellite Pro E10 Laptop Intel N4120 4GB RAM 128GB SSD 11.6"" OS",Brand new,£119.99
"New listingLenovo ThinkPad X395 Ryzen 5 Pro 3500U 8GB 256GB SSD AMD laptop ultrabook 13""",Pre-owned,£199.00
"Lenovo ThinkPad T430 i5 3rd Gen 8GB RAM 240GB SSD 14"" Laptop DVD/CD WIFI",Pre-owned,£149.99
"Dell Latitude E5270 Intel (R) Core i5, 12.5”, 256GB SSD, 8GB RAM, Finger scanner",Pre-owned,£85.00
"New listingHP 17-cp0122ng 1920x1080 Ryzen 3 5300U 8GB 256GB SSD 17.3"" Notebook Laptop",New (other),£855.49
New listingLenovo ThinkPad T470s Core i5 7.Gen 8GB 256Gb SSD 1920x1080 FHD Webcam DE,Pre-owned,£153.98
"HP EliteBook 820 G3 Core i7-6500U 16GB 256GB 12.5"" HD Laptop Notebook",Pre-owned,£92.60
"New listingDell Latitude 15.6"" E5570 i7-6600, 16GB, 256GB SSD, WIN 10 Used. #05.",Pre-owned,£195.91
HP ZBOOK 14 G7 I5 10TH 16GB 512SSD WEBCAM WIRELESS BIOS PASSWORD KEY MISSING W11,Pre-owned,£175.00
"Hp Compaq 2710p 12.1"" TABLET LAPTOP U7600 1.2GHz 2GB RAM 80GB HDD WIFI NO SYSTEM",Parts only,£33.32
"New listingDell Vostro 5468 14"" Core i5-7200U ,FAULTY SPARES SL2",Parts only,£6.99
"PANASONIC FZ-G1 MK3 TOUGHPAD | 10.1"" WUXGA i5-5300U 2.30GHZ 8GB 1TB SSD 4G LTE",Pre-owned,£139.95 to £174.95
"Laptop Dell Latitude 7420 i5-1145G7 16GB RAM 256GB SSD Windows11 Pro, VG",Very Good - Refurbished,£375.00
"Microsoft Surface Laptop 5, 13.5"" QHD Touchscreen, i5-1235U, 16GB RAM, 512GB SSD",Brand new,£789.90
Item 38 : Windows10 Install Disk (64bit),Brand new,£8.88
Microsoft Surface Book Intel i5 8GB RAM / 128GB SSD with Keyboard  Windows11 Pro,Pre-owned,£139.99
"New listingLenovo G500S 20245 Windows 11 Pro 15.6"" Laptop AMD A10 7800 3.5GHz 4GB 256GB SSD",Good - Refurbished,£79.99
Item 37 : Windows10 Install USB (64bit),Brand new,£11.42
"Dell Latitude 5480 Laptop, 14"" Full HD, i7-7820HQ, 16GB RAM, 1TB SSD, NVIDIA",Very Good - Refurbished,£329.90
SUPER FAST WINDOWS 11 CHEAP LAPTOP INTEL CORE 16GB RAM 1TB SSD WEBCAM WI-FI.,Pre-owned,£79.99 to £169.99
HP EliteBook x360 Core i5-8350U 16GB Ram 512GB  Windows 11 Touchscreen Laptop G3,Good - Refurbished,£274.99
Shop on eBay,Brand New,$20.00
"Dell Latitude 7520 Laptop i5 i7 11th Gen 8GB 32GB RAM 256GB 512GB SSD Win 11, E",Excellent - Refurbished,£306.67
"Lenovo Ideapad Slim 1I Laptop | 14"" Full HD Display | Intel Celeron N4020 | 4GB ",Brand new,£188.20
"Dell Latitude 3570 15.6"" - Core i5-6200U 2.3GHz - 4GB DDR3 - 500GB HARD DRIVE",Pre-owned,£102.66
Dell Latitude 3490 Core i5-8350U 1.70GHz 8GB 256GB SSD Windows 11 FHD Laptop,Pre-owned,£169.00
New listingHP Elitebook Dragonfly G2 İ7 11th Gen,Pre-owned,£556.07
"New listingAcer Aspire V3-771G 17""3 Intel Core i7 240GB SSD 8GB OK Memory Laptop",Parts only,£118.91
"New listingHP DV8 18"""" MONSTER Bolide Cinema FULLHD l 1TB SSD Windows 11l QUAD i7 HDMI",Pre-owned,"£8,554.09"
"New listingHP ENVY x360 15.6"" (256 GB SSD, AMD Ryzen 7, 4.3 GHz, 16GB) Laptop - Black",Pre-owned,£436.78
PANASONIC TOUGHBOOK CF-D1 MK3 i5-6300U 2.40GHZ 16GB 512GB SSD XENTRY TAB GRADE A,Pre-owned,£349.95
New listingHP ProBook 4530s 15.6 Core i3-2330M 2.20GHz 4Gb Ram 500Gb HDD Win 10 Pro Laptop,Pre-owned,£68.44
New listingdell latitude 5421,Pre-owned,£325.09
New listingCompaq 610 - Celeron 560 2.13GHz - 2GB 160GB HDD MEMORY (LIGHT DECR) Notebook,Pre-owned,£34.21
"New listingDell Inspiron 7306 Touch 2-in-1, i7-1165G7, 512GB SSD, 16GB RAM, Windows 11",Pre-owned,£300.00
"Dell Latitude 5580 Windows 11 15.6"" Laptop Intel i7 7600U 2.8Ghz 16GB 256GB SSD",Very Good - Refurbished,£299.99
HP Probook 430 G3 i3-6100U 2.30GHz 8GB DDR4 128GB SSD 1366x768 Laptop Windows10,Very Good - Refurbished,£119.68
"Fujitsu Laptop E756 15.6"" FHD i5-6200U 2.3GHz 256GB 8GB WEBCAM Windows 7 10 11",Very Good - Refurbished,£153.13 to £171.01
New listingLenovo Thinkpad L15 Gen3 AMD Ryzen 5 Pro 5675U 16GB 512GB SSD 4G Notebook,Pre-owned,£4.71
"New listingCompaq Armada E500 Laptop Intel Pentium III,  Faulty windows 98 COA",Parts only,£35.94
New listing2008 ASUS WON 3056 AWARDS LAPTOP,New (other),£55.61
"New listingDell XPS 13 9370 Laptop: 8th Gen Core i5, 256GB SSD 8GB RAM Silver",Pre-owned,£100.00
"New listingDell Latitude 7490 14"" Laptop Core i7-8650U @ 1.90GHz 16GB DDR4 256 SSD",Pre-owned,£300.00
"New listingAcer V3-772G - Intel Core i7 - SSD + HDD -16GB Memory GT 750M Graphics -17.3"" Win 10",Pre-owned,£86.28
"New listingDaySky V14s Celeron N5095 12GB DDR4, 512GB SSD, 14"" Backlit US QWERTY_2.46_2",New (other),£239.50
"New listingDell Latitude E7470 Laptop Core i7 6600U 14"" Full-HD 8GB 240GB M.2 SSD Webcam",Pre-owned,£230.13
New listingDell Latitude E7470 Notebook Core i7 6600U Full-HD 8GB 240GB M.2 SSD Webcam,Pre-owned,£187.35
"Stone StoneBook Pro P11A 15.6"" Laptop - 320GB HDD, 4GB RAM, Core i5 -Faulty Batt",Parts only,£44.00
New listingpackard bell easynote lj 71 laptop faulty,Parts only,£29.94
New listingLenovo ThinkPad T430s Core i7-3520M 8GB 180GB SSD HD+Cam,Pre-owned,£128.32
"New listingSGIN Laptop 17.3 Inch, 8GB RAM 512GB SSD Intel Celeron Processor",Opened – never used,£249.99
New listingHP TPN-I120 Laptop,Pre-owned,£102.66
"HP Probook 6460B 14"" I5-2540M max.3.30GHz 4GB 320GB HDD Windows 7 Firewire Memory",Pre-owned,£101.80
HP ProBook 640 G1 i5-4310M 4GB 320GB HDD 1366x768 Webcam BT DVD Windows10,Very Good - Refurbished,£128.24
"DELL VOSTRO 3580 15.6"" i3-8145U 2.1GHZ   BIOS BOOT SL4",Pre-owned,£8.99
New listingWILL TAKE £589 - Lenovo Gaming Graphics Laptop 32GB RAM 2TB SSD Nvidia 2GB i7,Pre-owned,£749.00
"HP Pavilion 14-dv2501sa 14"" Laptop Intel i3 12th Gen 8GB RAM 256GB SSD Gold",Opened – never used,£274.99
"New listingLenovo ThinkPad E15 Gen 2 Laptop, 15.6"" i5 11th Gen, 16GB RAM, 512GB SSD, Win 11",Pre-owned,£299.99
New listingHP ZBook 17G1 Core i7-4900MQ QUAD 16GB 256GB SSD Webcam K4100M,Pre-owned,£290.86
"New listingDell Latitude 5591 15.6"" FHD i7-8850H 6x2.6GHz 24GB DDR4, 512G NVMe SSD Notebook",Pre-owned,£298.57
FAST CHEAP INTEL CORE i3/i5 WINDOWS 10 8GB RAM 240GB SSD/500GB HDD WI-FI LAPTOP,Excellent - Refurbished,£114.99 to £144.99
HP ProBook 450 Gen2 / Intel I5-5200 2.2Ghz  120GB SSD / 8GB Ram / Windows 11 Pro,Pre-owned,£99.99
New listingLenovo ThinkBook 13s G2 ITL i7-1165G7 2.8GHz 16GB 512GB SSD 1920x1200B-Ware,Pre-owned,£71.86
"HP Laptop 14s-dq2510sa 14"" FHD intel Core i3 4GB RAM 256GB SSD Storage #A",Opened – never used,£199.99
Panasonic Toughbook Cf-33 i5 Military Grade Rugged Laptop Upto 16gb Ram 2TB SSD,Very Good - Refurbished,"£583.32 to £1,024.99"
New listingLenovo ThinkPad T430s Core i5-3320M 2.6GHz 8GB 180GB SSD 1600x900 Cam,Pre-owned,£98.37
New listingLenovo ThinkPad T430s Core i5-3320M 2.6GHz 8GB 180GB SSD 1600x900 Webcam,Pre-owned,£84.69
15.6 Inch Laptop Touch Screen 12GB RAM G Sensor Fingerprint Tablet Laptop Hot,Brand new,£380.04 to £449.52
New listingLenovo ThinkPad T490 Core i5-8265U 8GB 256GB SSD 14`' 1920x1080,Pre-owned,£256.64
New listingLenovo ThinkPad T480s Core i5-8350U 8GB 256GB SSD 14`' 1920x1080 Cam,Pre-owned,£213.87
Item 41 : Windows10 Install Disk (32bit+64bit),Brand new,£8.88
"Panasonic Toughbook CF D1,i5 6th Gen Mk 3 16 GB  1 Tb Ssd Win 11 Pro Diagnostics",Very Good - Refurbished,£399.99
GPD POCKET X7-Z8750 model UMPC portable personal computer SILVER Excellent,Pre-owned,£183.30
New listingLenovo ThinkPad T430s Core i5-3320M 2.6GHz 8GB 180GB SSD HD+A-WARE DE,Pre-owned,£153.98
New listingAcer 17” Chromebook 317 - 128Gb - Intel Pentium - 12m Warranty,Pre-owned,£189.99
New listingHP Folio 9470m i5-3437u 2x1.90GHz 8GB DDR 256GB SSD Intel HD CAM B-Ware,Pre-owned,£93.25
